Run:Fill,LS,HLTpath,L1bit,HLTpresc,L1presc,Recorded(/ub),Effective(/ub)
202299:3033,68:68,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,81672.2335706,0.0545955637358
202299:3033,69:69,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,157233.056618,0.105105823468
202299:3033,70:70,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,156002.022503,0.104282912198
202299:3033,71:71,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,156749.437591,0.104782537913
202299:3033,72:72,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,156196.464012,0.104412890813
202299:3033,73:73,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,156601.02021,0.104683325118
202299:3033,74:74,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,155316.174715,0.103824442472
202299:3033,75:75,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,156866.347287,0.104860688717
202299:3033,76:76,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,156535.974216,0.104639843722
202299:3033,77:77,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,154758.534112,0.103451675598
202299:3033,78:78,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,151820.873435,0.101487933042
202299:3033,79:79,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,156486.241842,0.104606599045
202299:3033,80:80,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,156909.806718,0.10488974011
202299:3033,81:81,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,154429.324271,0.103231608189
202299:3033,82:82,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,156721.353909,0.104763764771
202299:3033,83:83,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,154371.421727,0.103192901987
202299:3033,84:84,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,154934.310295,0.103569176974
202299:3033,87:87,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,153012.689372,0.102284628077
