Run:Fill,LS,HLTpath,L1bit,HLTpresc,L1presc,Recorded(/ub),Effective(/ub)
200473:2927,155:155,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,115562.3017,0.0772501097627
200473:2927,156:156,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,118042.582751,0.0789081070566
200473:2927,157:157,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,116314.125064,0.077752682285
200473:2927,159:159,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,115973.377791,0.0775249024308
200473:2927,160:160,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,116822.795333,0.0780927138829
200473:2927,161:161,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,116666.335339,0.0779881248298
200473:2927,162:162,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,114969.835345,0.0768540628662
200473:2927,163:163,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,115954.12688,0.0775120337441
200473:2927,164:164,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,116617.380999,0.0779554002465
200473:2927,165:165,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,113540.323359,0.0758984747881
200473:2927,166:166,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,115734.181854,0.0773650067541
200473:2927,167:167,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,115641.208143,0.0773028564743
200473:2927,168:168,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,116425.842817,0.0778273624232
200473:2927,169:169,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,114945.542007,0.0768378234616
200473:2927,170:170,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,116269.408312,0.0777227904088
200473:2927,171:171,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,114583.534258,0.0765958315842
200473:2927,172:172,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,115573.500804,0.0772575960455
200473:2927,173:173,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,114736.568366,0.0766981305297
200473:2927,174:174,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,114384.512117,0.0764627909471
200473:2927,175:175,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,115744.607238,0.0773719758267
200473:2927,176:176,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,102377.420749,0.0684363920911
200473:2927,177:177,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,113379.544314,0.0757909985721
200473:2927,178:178,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,115069.957309,0.0769209915501
200473:2927,179:179,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,113987.139767,0.0761971588405
200473:2927,180:180,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,115358.420946,0.0771138212812
200473:2927,181:181,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,113872.007484,0.0761201961859
200473:2927,182:182,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,113661.807054,0.0759796831807
200473:2927,183:183,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,113508.968973,0.075877515273
200473:2927,184:184,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,115167.491532,0.0769861904019
200473:2927,185:185,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,114423.069322,0.0764885653408
200473:2927,186:186,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,114739.246778,0.0766999209717
200473:2927,187:187,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,113019.8271,0.0755505378522
200473:2927,188:188,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,113844.305294,0.0761016780602
200473:2927,189:189,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,114128.060647,0.0762913604376
200473:2927,190:190,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,112376.667119,0.0751206037096
200473:2927,191:191,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,113439.60024,0.0758311442493
200473:2927,192:192,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,112631.821778,0.0752911673374
200473:2927,193:193,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,114066.578734,0.0762502615285
200473:2927,194:194,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,113295.466187,0.0757347947373
200473:2927,195:195,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,112865.939151,0.0754476681378
200473:2927,196:196,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,112318.813647,0.0750819303096
200473:2927,197:197,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,112881.289782,0.075457929598
200473:2927,198:198,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,111865.035917,0.0747785928117
200473:2927,199:199,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,112753.982962,0.075372828612
200473:2927,200:200,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,111377.849292,0.0744529224184
200473:2927,201:201,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,113511.761102,0.075879381732
200473:2927,202:202,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,112288.766136,0.0750618444038
200473:2927,203:203,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,111370.331784,0.0744478971784
200473:2927,204:204,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,112135.546189,0.0749594212301
200473:2927,205:205,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,113004.343862,0.0755401877482
200473:2927,206:206,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,111019.347035,0.0742132738628
200473:2927,207:207,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,111218.038196,0.0743460932489
200473:2927,208:208,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,112228.829921,0.0750217787501
200473:2927,209:209,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,111889.041766,0.0747946400389
200473:2927,210:210,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,104399.249898,0.0697879273357
200473:2927,211:211,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,110281.072193,0.0737197581422
200473:2927,212:212,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,109926.842402,0.0734829656088
200473:2927,213:213,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,111426.418433,0.0744853895069
200473:2927,214:214,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,112423.656226,0.0751520145898
200473:2927,215:215,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,109310.094547,0.0730706872202
200473:2927,216:216,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,112510.822538,0.0752102827886
200473:2927,217:217,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,112070.05785,0.0749156441395
